Stop,Nazwa_Profilu,Input_Geo_tp,Input_Geo_bp,Input_Geo_b_otw,Res_Masa_kg_m,Calc_Fy,Calc_Fz,Input_Load_Fx,Res_UR,Status_Wymogow,Res_Max_VonMises,Res_Stab_M_cr,Calc_Nb_Rd,Res_Force_Mz_Ed,Res_Force_My_Ed,Res_Force_Ms_Ed,Res_Geo_Iy,Res_Geo_Iz,Res_Geo_It,Res_Geo_Iw,Res_Geo_Ys,Res_Geo_Delta_Ys,Raport_Etap,Input_UPE_hc,Input_UPE_bc,Input_UPE_twc,Input_UPE_tfc,Input_UPE_rc,Input_UPE_Ac,Input_UPE_Gc,Input_UPE_Icy,Input_UPE_Icz,Input_UPE_Wcy,Input_UPE_Wcz,Input_UPE_xc,Input_UPE_xsc,Input_UPE_Typ,Input_Load_F_promien,Input_Load_L,Input_Load_w_Ty,Input_Load_w_Tz,Input_Load_Re,Input_Load_E,Input_Load_G,Input_Load_rho,Input_Load_Edef,Input_Load_Typ,Input_Safety_gamma_M0,Input_Safety_gamma_M1,Input_Safety_alfa_imp,Res_Punkt_Krytyczny,Res_Klasa_Przekroju,Res_Geo_Acal,Res_Force_N_Ed,Res_Force_Mw_Ed,Res_Stab_N_cr_min,Res_Stab_N_cr_gs,Res_Stab_Chi_N,Res_Stab_Chi_LT,Res_Disp_U_y_max,Res_Disp_U_z_max,Res_Disp_Phi_rad,Res_Disp_Phi_deg,P1_Sigma_Total,P1_Tau_Total,P1_VonMises,P1_Omega,P2_Sigma_Total,P2_Tau_Total,P2_VonMises,P2_Omega,P3_Sigma_Total,P3_Tau_Total,P3_VonMises,P3_Omega,P4_Sigma_Total,P4_Tau_Total,P4_VonMises,P4_Omega,P5_Sigma_Total,P5_Tau_Total,P5_VonMises,P5_Omega,P6_Sigma_Total,P6_Tau_Total,P6_VonMises,P6_Omega
S355,UPN65,12,200.0,70.0,33.017,4800.0,4800.0,24000.0,0.9707360032959187,SPEŁNIA,393.9156162039704,16111325353.370764,1493130.0,11123246.790299572,720000.0,2249297.3731442876,21577121.84,2706299.8573466474,127766.83333333333,22234414561.88388,-18.603619405059927,35.13500314257776,1_MIN_GEO_UPN65_tp12,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,4206.0,24000.0,331895633.9343509,47558283.01354392,47558283.01354392,1.0,1.0,0.21543476657586172,0.0011917384489443896,0.000531347157154303,0.030443949561216044,62.240017770129214,211.25645657439622,371.1626208889242,0.0,76.41113835653945,213.3312320330504,377.3185732867649,-1079.0099254934757,88.64556448358303,107.06718917184122,205.5436330662898,-1986.3619405059926,4.740842266517596,107.66718552667707,186.54528700319315,-282.0636133902947,290.26405568716376,114.94213313796817,351.9777037468142,3848.009318136096,343.2097967540926,111.61921594027933,393.9156162039704,7482.701379784698
S355,UPN65,12,230.0,100.0,35.843,4800.0,4800.0,24000.0,0.9158008557825015,SPEŁNIA,366.04972850589223,21757204874.355984,1620930.0,11154528.252299605,720000.0,2244441.773332451,30799115.84,2801246.1629434954,145046.83333333334,28470929623.197937,-17.592036110927246,32.82002559844367,2_MAX_GEO_UPN65_tp12,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,4566.0,24000.0,331790742.6991292,51885733.64747962,51885733.64747962,1.0,1.0,0.20873098494296863,0.0008349033734562464,0.000414980763832342,0.023776646346708355,55.38142769414061,185.68693063497477,326.35258718042223,0.0,68.64074197615038,188.00701566327376,332.7934273312318,-1284.218636097689,77.8020381940011,95.06226838828061,182.10892828336915,-2149.084152756633,3.8075347943468865,95.52734282959725,165.5020151099689,-349.4872623871938,283.15022878846287,101.5930809788538,333.37293587105523,4563.920917639087,324.12745743560356,98.20691604221568,366.04972850589223,8158.908334992982
S355,UPN65,15,200.0,70.0,37.727,4800.0,4800.0,24000.0,0.9253262629336366,SPEŁNIA,350.04671931346866,17400206014.15531,1706130.0,11159250.936329588,720000.0,2242165.549282858,23577121.84,3009995.31835206,237566.83333333334,23378318370.889618,-17.117822767262123,32.14903375352929,1_MIN_GEO_UPN65_tp15,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,4806.0,24000.0,326774720.5616695,54233827.419697136,54233827.419697136,1.0,1.0,0.19433913003869532,0.001090645664419475,0.0004962924055527903,0.028435460242569908,50.732925308675576,141.57061727574012,250.40077623257864,0.0,62.839231651883445,143.30331526513626,256.0396249265652,-992.8337205012031,73.45103503933358,62.290695895151416,130.51991010438257,-1837.7822767262123,3.9437837460899203,62.768446276694476,108.78964552845443,-287.587165489525,282.33263937471446,65.96750713705632,304.5765178898815,3988.377566095993,332.7693211960948,62.70907582589261,350.04671931346866,7682.502109711031
S355,UPN65,15,230.0,100.0,41.26,4800.0,4800.0,24000.0,0.8731022798588943,SPEŁNIA,328.5249333297037,23538775362.889725,1865880.0,11190136.98630137,720000.0,2237279.8095629057,33840865.84,3111399.8287671236,271316.8333333333,29918298980.270317,-16.099960325605352,29.844252563048276,2_MAX_GEO_UPN65_tp15,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,5256.0,24000.0,327056605.94100463,58959856.94859853,58959856.94859853,1.0,1.0,0.1885371580937076,0.000759858977481934,0.0003883831362040571,0.022252714538547075,44.86508177827797,123.69006644793603,218.8848399881912,0.0,56.1598757616011,125.61585639610342,224.70416502579099,-1175.2971037691907,64.09414840423243,55.40139245406633,115.39498566754192,-1977.4954374446156,3.0996497865515544,55.765936911828334,96.63915866646047,-352.6269392432648,275.3413706224595,58.23354341926368,293.23421886564404,4727.326257103767,314.45245916719415,54.91897893864614,328.5249333297037,8381.499699883778
S355,UPN65,16,200.0,70.0,39.297,4800.0,4800.0,24000.0,0.9108231823549523,SPEŁNIA,341.904651396562,17834421603.524437,1777130.0,11169334.398721535,720000.0,2240033.1952538122,24243788.506666668,3111860.913570382,285633.49999999994,23733339149.817184,-16.673582344544187,31.284649064480263,1_MIN_GEO_UPN65_tp16,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,5006.0,24000.0,324775593.5286778,56485339.83444806,56485339.83444806,1.0,1.0,0.1881511010087519,0.001060654596422283,0.00048535760718292553,0.027808942446150123,47.64893569654895,125.47733765143445,222.4951861620609,0.0,59.160137714285916,127.11752161495224,227.98358449449125,-967.0677759835628,69.30173568536595,53.54085053242094,115.76959270987112,-1793.3582344544186,3.763219020879305,53.98682550888777,93.58361930904572,-286.3992110133147,279.5888751174626,56.39394993103695,296.1600443272539,4030.424550472902,329.2734562407729,53.1594509059314,341.904651396562,7746.362657496262
S355,UPN65,16,230.0,100.0,43.065,4800.0,4800.0,24000.0,0.8594414426381285,SPEŁNIA,321.465230787969,24134718589.87218,1947530.0,11200016.040831206,720000.0,2235153.078191374,34854782.50666667,3215607.0531048733,326593.49999999994,30362772469.15399,-15.656891289869591,28.98955625523598,2_MAX_GEO_UPN65_tp16,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,5486.0,24000.0,325215753.8939725,61332137.29367201,61332137.29367201,1.0,1.0,0.18259187356433232,0.000737754875083996,0.00038017615074418084,0.021782488909170932,42.0631349144473,109.50141154389782,194.2703907165197,0.0,52.79733790816491,111.32119215687744,199.91193651174072,-1142.9530641604802,60.37957425843588,47.70099457724798,102.3320460002921,-1926.542498335003,2.9422255980902587,48.039769456407754,83.25932404088132,-350.22957627072697,272.6369391166497,49.81542379682716,285.96438574596704,4775.928781366896,311.20014765330785,46.5272776842487,321.465230787969,8451.961764494277
S355,UPE80,5,230.0,70.0,21.43,4800.0,4800.0,24000.0,0.85289133295393,SPEŁNIA,1068.6353633027522,24518803490.0917,969150.0,10929670.329670329,720000.0,2362170.9235922256,21451095.133333333,2778577.60989011,28009.999999999996,52745520993.64878,-42.118942415046995,66.7160120121166,1_MIN_GEO_UPE80_tp5,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2730.0,24000.0,353782316.6088792,47162905.619038925,47162905.619038925,1.0,1.0,0.20609858385085797,0.0011987399969303999,0.00023947440726838708,0.013720872837875585,87.96256220839268,421.6656414837961,735.6243280194648,0.0,104.14375880558414,424.9002922057555,743.2810353074836,-2737.7312569780547,117.83174762767149,349.8634377172567,617.3310261950242,-5018.6783777304045,1.540150382932735,351.0079682173565,607.9655856374046,-2105.777489237307,245.20889977250732,597.6894462601276,1063.8728434544503,3363.7536462938288,283.3972180781458,594.8858592163635,1068.6353633027522,9297.462882216085
S355,UPE80,5,260.0,100.0,22.608,4800.0,4800.0,24000.0,0.8214986595917964,SPEŁNIA,1020.4037939820588,31546911791.412415,1022400.0,10960416.666666666,720000.0,2355465.698741147,28852485.13333333,2864915.798611111,29259.999999999996,64936617225.279915,-40.7220205710723,64.03799279329452,2_MAX_GEO_UPE80_tp5,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2880.0,24000.0,352860020.99020207,51161608.6443745,51161608.6443745,1.0,1.0,0.20046244849244987,0.0008912329594991439,0.0001940177974270499,0.011116400942994122,80.86746295808699,402.5061002633539,701.8354713270888,0.0,96.57349912545487,406.163627982062,710.093739459789,-3257.761645685784,107.3906158000025,334.1770913147471,588.689841462088,-5468.862674239399,1.2766498486507665,335.12900795918097,580.4618727892043,-2356.3422442083656,242.48738298113685,570.43094563074,1017.3369756892656,4003.21331134719,273.1684779084857,567.6274850786506,1020.4037939820588,9869.87029875866
S355,UPE80,6,230.0,70.0,23.236,4800.0,4800.0,24000.0,0.8380196475423056,SPEŁNIA,869.8215243892023,25419496746.98449,1050800.0,10969135.135135135,720000.0,2352229.8751827967,22465011.799999997,2940153.378378378,34986.666666666664,54111259746.16449,-40.04789066308264,63.00059336578534,1_MIN_GEO_UPE80_tp6,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2960.0,24000.0,352176006.3135621,50876851.085967645,50876851.085967645,1.0,1.0,0.19549153481309528,0.00114463708914169,0.00023235481730517218,0.013312950381119671,77.52392031395678,403.3930807287571,702.9849862979703,0.0,92.38269818436773,406.2801192413629,709.7359852763225,-2603.112893100372,105.01559144076839,281.5447894045964,498.82930925146127,-4780.507426254504,1.6830363324615654,282.52900438106536,489.3574844231613,-2060.850834117527,244.22549376915532,477.9190116744159,863.0561030236327,3594.4937604770676,280.9712681084863,475.26996917129975,869.8215243892023,9476.792512305034
S355,UPE80,6,260.0,100.0,24.649,4800.0,4800.0,24000.0,0.8074525306668898,SPEŁNIA,818.8453463530697,32771567886.593067,1114700.0,11000713.375796178,720000.0,2345156.483524791,30317151.799999997,3030086.1146496814,37146.666666666664,66665732488.54332,-38.574267400998124,60.211210076157364,2_MAX_GEO_UPE80_tp6,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,150.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,3140.0,24000.0,351207535.5933541,55138365.33671975,55138365.33671975,1.0,1.0,0.19024765837578456,0.0008481761705031181,0.00018808890197167331,0.010776700256226748,70.90950642928061,378.79411973659586,659.9114437127998,0.0,85.26690768525452,382.0427932919935,667.1885290270302,-3085.9413920798497,95.20971403545933,264.77264784008094,468.3786446663175,-5189.654762129756,1.432093198673659,265.5819439557447,460.00364972124584,-2299.70367955706,241.4597598766602,448.7858254775887,813.9588239514924,4274.767658022558,270.93622057712946,446.13199303325007,818.8453463530697,10086.33249327047
