Stop,Nazwa_Profilu,Input_Geo_tp,Input_Geo_bp,Input_Geo_b_otw,Res_Masa_kg_m,Calc_Fy,Calc_Fz,Input_Load_Fx,Res_UR,Status_Wymogow,Res_Max_VonMises,Res_Stab_M_cr,Calc_Nb_Rd,Res_Force_Mz_Ed,Res_Force_My_Ed,Res_Force_Ms_Ed,Res_Geo_Iy,Res_Geo_Iz,Res_Geo_It,Res_Geo_Iw,Res_Geo_Ys,Res_Geo_Delta_Ys,Raport_Etap,Input_UPE_hc,Input_UPE_bc,Input_UPE_twc,Input_UPE_tfc,Input_UPE_rc,Input_UPE_Ac,Input_UPE_Gc,Input_UPE_Icy,Input_UPE_Icz,Input_UPE_Wcy,Input_UPE_Wcz,Input_UPE_xc,Input_UPE_xsc,Input_UPE_Typ,Input_Load_F_promien,Input_Load_L,Input_Load_w_Ty,Input_Load_w_Tz,Input_Load_Re,Input_Load_E,Input_Load_G,Input_Load_rho,Input_Load_Edef,Input_Load_Typ,Input_Safety_gamma_M0,Input_Safety_gamma_M1,Input_Safety_alfa_imp,Res_Punkt_Krytyczny,Res_Klasa_Przekroju,Res_Geo_Acal,Res_Force_N_Ed,Res_Force_Mw_Ed,Res_Stab_N_cr_min,Res_Stab_N_cr_gs,Res_Stab_Chi_N,Res_Stab_Chi_LT,Res_Disp_U_y_max,Res_Disp_U_z_max,Res_Disp_Phi_rad,Res_Disp_Phi_deg,P1_Sigma_Total,P1_Tau_Total,P1_VonMises,P1_Omega,P2_Sigma_Total,P2_Tau_Total,P2_VonMises,P2_Omega,P3_Sigma_Total,P3_Tau_Total,P3_VonMises,P3_Omega,P4_Sigma_Total,P4_Tau_Total,P4_VonMises,P4_Omega,P5_Sigma_Total,P5_Tau_Total,P5_VonMises,P5_Omega,P6_Sigma_Total,P6_Tau_Total,P6_VonMises,P6_Omega
S355,UPN65,5,200.0,70.0,22.027,4800.0,4800.0,24000.0,0.968319386871782,SPEŁNIA,1184.324948319474,29316574533.196342,996130.0,10739358.51746258,480000.0,2271757.264563583,16910455.173333332,1940518.8287004037,20900.166666666664,18897434326.856316,-23.282763450746426,45.809491889805585,1_MIN_GEO_UPN65_tp5,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2806.0,24000.0,226853238.9604177,70899422.15364048,70899422.15364048,1.0,1.0,0.12980522774917272,0.00045055248607750974,0.00019049260103400973,0.01091442206771818,116.11593612907028,543.4782652204328,948.466543913998,0.0,130.68042523266774,547.1875350015773,956.7235593013784,-1350.4002801432928,142.817742713243,607.1390244973963,1061.2494018074433,-2454.2763450746424,9.66200039454755,608.3884670373556,1053.804030512227,-137.57590167917397,281.7664349059353,661.2708268673956,1179.5039818657958,3409.449757622323,323.19126936618466,657.8178538717738,1184.324948319474,6953.048223064121
S355,UPN65,5,230.0,100.0,23.205,4800.0,4800.0,24000.0,0.9240431576387681,SPEŁNIA,1116.0538162328462,39194824875.38092,1049380.0,10766792.96346414,480000.0,2267480.4846606976,23701699.173333332,2013086.800857014,22150.166666666664,24106630836.567963,-22.391767637645387,43.775394159972855,2_MAX_GEO_UPN65_tp5,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2956.0,24000.0,226480554.93649784,77469953.68825223,77469953.68825223,1.0,1.0,0.12545047213005234,0.0003214557556961896,0.00014909094381415937,0.00854228184417342,106.24910313190156,511.842759195348,892.8817963977395,0.0,120.12770186827645,516.1044225386819,901.9545385706047,-1634.5990375481133,129.3521048056674,572.1823957510003,999.4548759397392,-2701.0532783292197,8.697872310661976,573.2136443371402,992.8732543207763,-180.35886725803584,276.2968607902767,622.7865203053349,1113.5210392734587,4042.079055610706,308.4653498706236,619.2536498767672,1116.0538162328462,7550.705935388289
S355,UPN65,6,200.0,70.0,23.597,4800.0,4800.0,24000.0,0.9473348564377794,SPEŁNIA,939.855468544165,30330250837.03208,1067130.0,10768119.760479042,480000.0,2267916.2954134853,17577121.84,2062187.4251497006,26966.833333333332,19451179200.201405,-22.482561544476162,43.810904857849415,1_MIN_GEO_UPN65_tp6,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,3006.0,24000.0,226388237.27387667,76279381.07420607,76279381.07420607,1.0,1.0,0.12247881881690292,0.0004334638906415875,0.0001846769099178345,0.010581207511809613,103.38613368998811,504.6012486627739,880.0886052525938,0.0,116.97910892896319,507.93994794180105,887.5207513467913,-1303.9885695796174,128.36388336063624,472.0796253588019,827.6803758626535,-2374.2561544476157,8.549490475011844,473.1754638354644,819.6085361409453,-179.5947788629819,279.22920340939635,513.7432988086638,932.6121805172127,3483.9738339114692,319.491834861617,510.3114307979423,939.855468544165,7035.414374532159
S355,UPN65,6,230.0,100.0,25.01,4800.0,4800.0,24000.0,0.9038983569765204,SPEŁNIA,871.5295491093237,40641615901.26685,1131030.0,10797039.548022598,480000.0,2263490.50645162,24715615.84,2139983.02259887,29126.833333333332,24846044058.824104,-21.560522177420754,41.6838743431458,2_MAX_GEO_UPN65_tp6,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,3186.0,24000.0,226008505.73541147,83457827.39033577,83457827.39033577,1.0,1.0,0.11834806337571745,0.00030826857272627114,0.00014434312501306835,0.008270251864978042,93.99711475789775,466.2691231582465,813.0535918468655,0.0,106.89630989038433,470.0815835454307,821.1923688356586,-1573.918118951715,115.51731323241063,436.76484662327647,765.2678246169752,-2605.460050403387,7.602753552589182,437.6576877074976,758.0834760697544,-231.983115357099,273.7183762355929,474.88285703646255,866.869617191876,4131.920604040264,304.9320812530096,471.37394242554717,871.5295491093237,7647.171099504029
S355,UPN65,8,200.0,70.0,26.737,4800.0,4800.0,24000.0,0.9109692231970852,SPEŁNIA,682.4965133202861,32296161522.864162,1209130.0,10815509.101585437,480000.0,2260934.609041517,18910455.173333332,2288794.519475436,46700.16666666666,20470841718.603474,-21.028043550316127,40.38183098425623,1_MIN_GEO_UPN65_tp8,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P2 (Koniec Nakładki),1,3406.0,24000.0,225432631.50929838,86670832.89140962,86670832.89140962,1.0,1.0,0.11084551081280188,0.0004029013341673369,0.00017469718360994487,0.01000941131367186,84.40833224668519,387.3107563284672,676.1313721872804,0.0,96.36711817194823,390.091813649719,682.4965133202861,-1219.6265259183353,106.48429085845224,276.1317358388851,489.9848067152848,-2228.8043550316124,6.920365004230262,277.0022476352847,479.8318737191085,-235.59849187423288,274.5278572327885,299.7015875740661,587.2211416324118,3619.995680175092,312.8771628068987,296.3060494223413,601.0690008467576,7192.846389525
S355,UPN65,8,230.0,100.0,28.621,4800.0,4800.0,24000.0,0.8691758038330641,SPEŁNIA,614.9950025367962,43432952000.184296,1294330.0,10846084.476138232,480000.0,2256289.2753558233,26743449.173333332,2374053.6076065097,51820.16666666666,26191600206.604504,-20.060265699129893,38.140079193370156,2_MAX_GEO_UPN65_tp8,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P2 (Koniec Nakładki),1,3646.0,24000.0,225056721.5669302,94882787.91439931,94882787.91439931,1.0,1.0,0.10717137218384451,0.0002848939779482443,0.00013632281932569,0.007810722198686493,76.016751491003,348.3260545832528,608.0885358332704,0.0,87.28967763705462,351.4727895220591,614.9950025367962,-1464.3993960364821,94.90750960621968,249.11451743578706,441.7935759734968,-2432.9305553999375,6.03159114090829,249.8092234287739,432.72430532840684,-298.5862728897,268.99680710530527,269.92236519965985,539.3825469347191,4294.7046623818305,298.66639507806286,266.45460304079546,549.7233686080748,7829.57009107268
S355,UPE80,5,230.0,70.0,21.43,4800.0,4800.0,24000.0,0.7767232467753397,SPEŁNIA,1062.0140077962396,55138730804.325356,969150.0,10689670.329670329,480000.0,2362170.9235922256,21451095.133333333,2778577.60989011,28009.999999999996,52745520993.64878,-42.118942415046995,66.7160120121166,1_MIN_GEO_UPE80_tp5,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2730.0,24000.0,236055943.35194734,106077787.82951367,106077787.82951367,1.0,1.0,0.09022833680382147,0.00035518222131271105,7.102798703954318e-05,0.004069603884675735,85.83798714441592,421.6656414837961,735.3733063287168,0.0,96.63588775783175,424.9002922057555,742.2663064913787,-2737.7312569780547,105.76990859609772,349.8634377172567,615.1427059784072,-5018.6783777304045,1.8956087971681121,351.0079682173565,607.9665900269046,-2105.777489237307,231.82414942985451,597.6894462601276,1060.867785716528,3363.7536462938288,257.3056475646385,594.8858592163635,1062.0140077962396,9297.462882216085
S355,UPE80,5,260.0,100.0,22.608,4800.0,4800.0,24000.0,0.7542006073240622,SPEŁNIA,1014.464472850923,70949345556.8064,1022400.0,10720416.666666666,480000.0,2355465.698741147,28852485.13333333,2864915.798611111,29259.999999999996,64936617225.279915,-40.7220205710723,64.03799279329452,2_MAX_GEO_UPE80_tp5,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2880.0,24000.0,235410204.5026239,115081510.74192004,115081510.74192004,1.0,1.0,0.08776470574995171,0.0002640690250367834,5.753667480602e-05,0.0032966086336016407,78.9142351054408,402.5061002633539,701.6130976185636,0.0,89.39346405732181,406.163627982062,709.1529239189671,-3257.761645685784,96.61067018466719,334.1770913147471,586.8190578639084,-5468.862674239399,1.9205022091794852,335.12900795918097,580.4636459381843,-2356.3422442083656,229.60111346064082,570.43094563074,1014.3426750866331,4003.21331134719,250.07055249781044,567.6274850786506,1014.464472850923,9869.87029875866
S355,UPE80,6,230.0,70.0,23.236,4800.0,4800.0,24000.0,0.7629577954383924,SPEŁNIA,861.8375769092994,57157808092.27595,1050800.0,10729135.135135135,480000.0,2352229.8751827967,22465011.799999997,2940153.378378378,34986.666666666664,54111259746.16449,-40.04789066308264,63.00059336578534,1_MIN_GEO_UPE80_tp6,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2960.0,24000.0,235027640.79165804,114424205.45635253,114424205.45635253,1.0,1.0,0.08558943778125899,0.0003391517301160563,6.893163061118918e-05,0.003949491508975932,75.65032804181249,403.3930807287571,702.7808370127536,0.0,85.56790050179802,406.2801192413629,708.881140579021,-2603.112893100372,93.99963308386043,281.5447894045964,496.62695893652005,-4780.507426254504,1.5713994759735765,282.52900438106536,489.35711320668594,-2060.850834117527,230.66132015260638,477.9190116744159,859.3162338592788,3594.4937604770676,255.1849881647193,475.26996917129975,861.8375769092994,9476.792512305034
S355,UPE80,6,260.0,100.0,24.649,4800.0,4800.0,24000.0,0.7410582631349769,SPEŁNIA,811.5690994527678,73695953012.7762,1114700.0,10760713.375796178,480000.0,2345156.483524791,30317151.799999997,3030086.1146496814,37146.666666666664,66665732488.54332,-38.574267400998124,60.211210076157364,2_MAX_GEO_UPE80_tp6,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,100.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,3140.0,24000.0,234347783.29851425,124020820.54565749,124020820.54565749,1.0,1.0,0.08329728198108892,0.0002513114579268498,5.578987994364894e-05,0.0031965246603126436,69.19573789414491,378.79411973659586,659.7294942503198,0.0,78.77703302367055,382.0427932919935,666.3902074993742,-3085.9413920798497,85.41217927467855,264.77264784008094,466.4856969953016,-5189.654762129756,1.5858175259958962,265.5819439557447,460.00415398468164,-2299.70367955706,228.40966335999605,448.7858254775887,810.1833902055934,4274.767658022558,248.07889382838857,446.13199303325007,811.5690994527678,10086.33249327047
