Stop,Nazwa_Profilu,Input_Geo_tp,Input_Geo_bp,Input_Geo_b_otw,Res_Masa_kg_m,Calc_Fy,Calc_Fz,Input_Load_Fx,Res_UR,Status_Wymogow,Res_Max_VonMises,Res_Stab_M_cr,Calc_Nb_Rd,Res_Force_Mz_Ed,Res_Force_My_Ed,Res_Force_Ms_Ed,Res_Geo_Iy,Res_Geo_Iz,Res_Geo_It,Res_Geo_Iw,Res_Geo_Ys,Res_Geo_Delta_Ys,Raport_Etap,Input_UPE_hc,Input_UPE_bc,Input_UPE_twc,Input_UPE_tfc,Input_UPE_rc,Input_UPE_Ac,Input_UPE_Gc,Input_UPE_Icy,Input_UPE_Icz,Input_UPE_Wcy,Input_UPE_Wcz,Input_UPE_xc,Input_UPE_xsc,Input_UPE_Typ,Input_Load_F_promien,Input_Load_L,Input_Load_w_Ty,Input_Load_w_Tz,Input_Load_Re,Input_Load_E,Input_Load_G,Input_Load_rho,Input_Load_Edef,Input_Load_Typ,Input_Safety_gamma_M0,Input_Safety_gamma_M1,Input_Safety_alfa_imp,Res_Punkt_Krytyczny,Res_Klasa_Przekroju,Res_Geo_Acal,Res_Force_N_Ed,Res_Force_Mw_Ed,Res_Stab_N_cr_min,Res_Stab_N_cr_gs,Res_Stab_Chi_N,Res_Stab_Chi_LT,Res_Disp_U_y_max,Res_Disp_U_z_max,Res_Disp_Phi_rad,Res_Disp_Phi_deg,P1_Sigma_Total,P1_Tau_Total,P1_VonMises,P1_Omega,P2_Sigma_Total,P2_Tau_Total,P2_VonMises,P2_Omega,P3_Sigma_Total,P3_Tau_Total,P3_VonMises,P3_Omega,P4_Sigma_Total,P4_Tau_Total,P4_VonMises,P4_Omega,P5_Sigma_Total,P5_Tau_Total,P5_VonMises,P5_Omega,P6_Sigma_Total,P6_Tau_Total,P6_VonMises,P6_Omega
S355,UPN65,15,200.0,70.0,37.727,4800.0,4800.0,24000.0,0.9909352051419431,SPEŁNIA,372.05174486293856,12174867663.35482,1695480.6649187787,11303250.936329588,864000.0,2242165.549282858,23577121.84,3009995.31835206,237566.83333333334,23378318370.889618,-17.117822767262123,32.14903375352929,1_MIN_GEO_UPN65_tp15,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,4806.0,24000.0,387330727.04208016,37873809.96327321,37873809.96327321,0.9937581924699633,1.0,0.2823087212770898,0.0018846357081168527,0.000844938154964649,0.048411390229045115,51.45202755073737,141.57061727574012,250.54746090628038,0.0,65.7757932026696,143.30331526513626,256.7761193518148,-992.8337205012031,78.33651213955658,62.290695895151416,133.33042233300543,-1837.7822767262123,3.7928228160254456,62.768446276694476,108.78427758129668,-287.587165489525,296.078656729257,65.96750713705632,317.36053151618256,3988.377566095993,355.84437087404444,62.70907582589261,372.05174486293856,7682.502109711031
S355,UPN65,15,230.0,100.0,41.26,4800.0,4800.0,24000.0,0.9304431104092954,SPEŁNIA,347.92446916629,16457158285.83555,1853525.6445933734,11334136.98630137,864000.0,2237279.8095629057,33840865.84,3111399.8287671236,271316.8333333333,29918298980.270317,-16.099960325605352,29.844252563048276,2_MAX_GEO_UPN65_tp15,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,5256.0,24000.0,388156520.5259652,41130733.25203708,41130733.25203708,0.9933788049571105,1.0,0.2738736949318177,0.001313036313088782,0.0006622408899948731,0.037943608017693656,45.501187129924794,123.69006644793603,219.0161081836606,0.0,58.88557253721194,125.61585639610342,225.40084469099642,-1175.2971037691907,68.29109810965574,55.40139245406633,117.77782872243426,-1977.4954374446156,2.8571533949157537,55.765936911828334,96.63168468201376,-352.6269392432648,288.2620041148729,58.23354341926368,305.3987880686706,4727.326257103767,334.66872202471257,54.91897893864614,347.92446916629,8381.499699883778
S355,UPN65,16,200.0,70.0,39.297,4800.0,4800.0,24000.0,0.9747698999522318,SPEŁNIA,363.63769829922103,12495180368.9944,1766110.740109541,11313334.398721535,864000.0,2240033.1952538122,24243788.506666668,3111860.913570382,285633.49999999994,23733339149.817184,-16.673582344544187,31.284649064480263,1_MIN_GEO_UPN65_tp16,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,5006.0,24000.0,384137669.4112672,39480022.56233224,39480022.56233224,0.9937994069705317,1.0,0.27331742005684834,0.001832811142617705,0.0008241721713538753,0.04722158701070994,48.325056405702625,125.47733765143445,222.6409617947484,0.0,61.910597837167664,127.11752161495224,228.71273473319988,-967.0677759835628,73.88579025698749,53.54085053242094,118.57056139322553,-1793.3582344544186,3.624506814781382,53.98682550888777,93.57814400399103,-286.3992110133147,293.041919034198,56.39394993103695,308.89221271783197,4030.424550472902,351.7877115001246,53.1594509059314,363.63769829922103,7746.362657496262
S355,UPN65,16,230.0,100.0,43.065,4800.0,4800.0,24000.0,0.9154411127497042,SPEŁNIA,340.63621795483084,16894102041.3826,1934350.8806425058,11344016.040831206,864000.0,2235153.078191374,34854782.50666667,3215607.0531048733,326593.49999999994,30362772469.15399,-15.656891289869591,28.98955625523598,2_MAX_GEO_UPN65_tp16,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,5486.0,24000.0,385219374.4084376,42815297.26989663,42815297.26989663,0.99323290559966,1.0,0.26523535118616454,0.001274840424145145,0.0006467124870583619,0.037053896066853005,42.660192864410114,109.50141154389782,194.4005386966479,0.0,55.35153222075788,111.32119215687744,200.6016340633119,-1142.9530641604802,64.32015780134563,47.70099457724798,104.70547908569984,-1926.542498335003,2.7138464392735457,48.039769456407754,83.25156641631663,-350.22957627072697,285.30055527773135,49.81542379682716,298.06230252407687,4775.928781366896,330.9662675809265,46.5272776842487,340.63621795483084,8451.961764494277
S355,UPN65,18,200.0,70.0,42.437,4800.0,4800.0,24000.0,0.9429407745734772,SPEŁNIA,350.3136106504507,13152188082.794529,1907534.4569807337,11331263.041065482,864000.0,2236083.6414559484,25577121.84,3318487.569367369,401366.8333333333,24410454393.018475,-15.85075863665589,29.714798592260774,1_MIN_GEO_UPN65_tp18,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,5406.0,24000.0,377018377.5249846,42760026.30400287,42760026.30400287,0.9939579168585421,1.0,0.25671600250421156,0.0017372668430892424,0.000783639458945929,0.04489923365751708,42.90045279241948,100.28109500712043,178.91155048592015,0.0,55.140428873886485,101.75985687372243,184.67721112600103,-919.3440009260416,66.04281971887768,41.07817061004293,97.07678578539549,-1711.0758636655892,3.383331711137995,41.47021031366387,71.90814949535367,-281.08228185429675,286.76173278656296,42.757911135552604,296.17057295548386,4108.389832463128,343.5419797641847,39.57496661047266,350.3136106504507,7870.532108951872
S355,UPN65,18,230.0,100.0,46.676,4800.0,4800.0,24000.0,0.8858892686481743,SPEŁNIA,328.9358539099887,17785243562.05495,2096143.5032760364,11361481.331987891,864000.0,2231231.6843459485,36882615.84,3427435.5146316853,459686.8333333333,31204533382.20933,-14.83993423873925,27.44487873924379,2_MAX_GEO_UPN65_tp18,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,5946.0,24000.0,378664543.53348774,46242853.834622964,46242853.834622964,0.9930423119228154,1.0,0.24923590387649772,0.0012047487604199634,0.0006165539308660846,0.03532593808082738,37.74734514175097,87.36854616217434,155.9636196063891,0.0,49.18321543453284,89.00396342359207,161.81503389921474,-1083.3151994279654,57.3561778705037,36.75553983473135,85.68920740408578,-1832.5924374550139,2.5131186170230553,37.050935369380184,64.2232917283223,-342.21400074045846,279.17073281019793,37.854559873519065,286.76680625106604,4865.630979077907,323.42312283694366,34.623111750643545,328.9358539099887,8588.098397948423
S355,UPE80,5,230.0,70.0,21.43,4800.0,4800.0,24000.0,0.8985100203429967,SPEŁNIA,1072.885038698601,17033929127.953968,969150.0,11073670.329670329,864000.0,2362170.9235922256,21451095.133333333,2778577.60989011,28009.999999999996,52745520993.64878,-42.118942415046995,66.7160120121166,1_MIN_GEO_UPE80_tp5,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2730.0,24000.0,424252665.4290227,32761474.723029055,32761474.723029055,1.0,1.0,0.29944725044574777,0.002071422714695731,0.00041347702874097806,0.02369048867246748,89.23730724677874,421.6656414837961,735.7778446164846,0.0,108.6398925258674,424.9002922057555,743.9243249132542,-2737.7312569780547,125.05310626940071,349.8634377172567,618.749993568999,-5018.6783777304045,3.5949995705763786,351.0079682173565,607.9742636642959,-2105.777489237307,253.2291970899119,597.6894462601276,1065.749993559003,3363.7536462938288,299.02299205332906,594.8858592163635,1072.885038698601,9297.462882216085
S355,UPE80,5,260.0,100.0,22.608,4800.0,4800.0,24000.0,0.8618174936438665,SPEŁNIA,1024.1949480761436,21915202756.057034,1022400.0,11104416.666666666,864000.0,2355465.698741147,28852485.13333333,2864915.798611111,29259.999999999996,64936617225.279915,-40.7220205710723,64.03799279329452,2_MAX_GEO_UPE80_tp5,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2880.0,24000.0,423189778.55467844,35536731.77299499,35536731.77299499,1.0,1.0,0.2912508933486984,0.0015400505540145207,0.0003350325387238961,0.019195950468432567,82.0393996696747,402.5061002633539,701.9714704642917,0.0,100.87448996144853,406.163627982062,710.6914526091016,-3257.761645685784,113.84678143866725,334.1770913147471,589.9017500590231,-5468.862674239399,3.1898561291501757,335.12900795918097,580.4692335595738,-2356.3422442083656,250.21050581409253,570.43094563074,1019.2054201284866,4003.21331134719,287.00593411034845,567.6274850786506,1024.1949480761436,9869.87029875866
S355,UPE80,6,230.0,70.0,23.236,4800.0,4800.0,24000.0,0.8829579071036082,SPEŁNIA,874.9298828415351,17661237885.62735,1050800.0,11113135.135135135,864000.0,2352229.8751827967,22465011.799999997,2940153.378378378,34986.666666666664,54111259746.16449,-40.04789066308264,63.00059336578534,1_MIN_GEO_UPE80_tp6,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2960.0,24000.0,422264652.82409656,35343029.193439834,35343029.193439834,1.0,1.0,0.28402662916260407,0.00197793289003684,0.0004011139018768477,0.022982133681568005,78.64807567724334,403.3930807287571,703.1098438702492,0.0,96.4619375242207,406.2801192413629,710.2784744473499,-2603.112893100372,111.60746434124252,281.5447894045964,500.2585645636837,-4780.507426254504,3.6280665322905943,282.52900438106536,489.3680392265425,-2060.850834117527,252.35068760788704,477.9190116744159,865.3904406080096,3594.4937604770676,296.4079437208754,475.26996917129975,874.9298828415351,9476.792512305034
S355,UPE80,6,260.0,100.0,24.649,4800.0,4800.0,24000.0,0.8472156464560505,SPEŁNIA,823.4758020286799,22767824531.90073,1114700.0,11144713.375796178,864000.0,2345156.483524791,30317151.799999997,3030086.1146496814,37146.666666666664,66665732488.54332,-38.574267400998124,60.211210076157364,2_MAX_GEO_UPE80_tp6,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,180.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,3140.0,24000.0,421151057.970845,38300412.559637986,38300412.559637986,1.0,1.0,0.2764006887265708,0.001465648422629388,0.00032474178552066314,0.018606333741876584,71.93776755036204,378.79411973659586,660.0227252460309,0.0,89.15285541253968,382.0427932919935,667.6962777695079,-3085.9413920798497,101.07481978375944,264.77264784008094,469.6059883850098,-5189.654762129756,3.2368949656640424,265.5819439557447,460.0128089031388,-2299.70367955706,249.27876763531808,448.7858254775887,816.3124741436853,4274.767658022558,284.62454374722853,446.13199303325007,823.4758020286799,10086.33249327047
